timestamp,ppg_red,ppg_infrared,ppg_ambient
0.000000,903.99,850.94,13.71
0.015627,911.43,866.07,16.28
0.031254,921.52,872.48,14.13
0.046881,927.67,881.29,13.27
0.062508,932.44,894.42,16.17
0.078135,942.37,903.02,11.60
0.093762,948.16,913.30,15.98
0.109389,955.85,914.20,16.05
0.125016,958.60,919.42,12.99
0.140643,962.04,922.85,13.71
0.156270,957.58,927.86,13.06
0.171897,968.98,923.69,14.75
0.187524,960.76,928.39,19.31
0.203151,959.79,925.70,13.71
0.218778,954.32,915.09,15.06
0.234406,947.79,918.42,19.10
0.250033,950.59,910.70,13.90
0.265660,940.33,900.68,11.98
0.281287,940.07,896.44,14.28
0.296914,931.43,885.17,17.59
0.312541,924.12,879.96,12.98
0.328168,916.00,870.04,15.15
0.343795,914.08,864.53,14.23
0.359422,908.95,858.70,15.46
0.375049,904.85,858.83,14.55
0.390676,905.57,847.89,14.94
0.406303,896.69,848.21,12.94
0.421930,888.17,842.45,14.45
0.437557,888.40,836.08,13.05
0.453184,891.26,842.95,13.33
0.468811,884.07,834.15,14.01
0.484438,887.04,841.55,17.29
0.500065,883.81,830.62,14.58
0.515692,880.06,833.34,15.34
0.531319,878.36,828.10,12.67
0.546946,875.98,825.41,17.35
0.562573,877.50,821.02,13.20
0.578200,868.51,812.43,14.80
0.593827,867.93,814.28,9.49
0.609454,862.75,808.12,13.16
0.625081,856.89,804.59,15.28
0.640708,856.39,806.80,13.15
0.656335,855.26,800.74,17.52
0.671962,850.75,794.75,12.71
0.687590,855.98,791.39,13.34
0.703217,848.20,789.73,13.84
0.718844,846.15,791.86,14.65
0.734471,846.54,783.06,16.48
0.750098,855.33,789.41,18.26
0.765725,859.52,800.21,14.09
0.781352,851.92,802.44,16.46
0.796979,864.92,807.90,16.23
0.812606,863.00,810.76,14.50
0.828233,873.13,825.54,12.83
0.843860,886.00,829.78,14.42
0.859487,891.47,836.17,11.53
0.875114,904.01,854.35,9.75
0.890741,903.42,857.72,16.85
0.906368,915.39,872.58,15.55
0.921995,924.88,880.32,15.53
0.937622,934.23,890.55,19.76
0.953249,940.59,898.64,16.22
0.968876,945.52,910.11,14.08
0.984503,951.98,912.80,13.58
1.000130,958.39,920.84,17.18
1.015757,968.13,921.49,19.62
1.031384,960.98,923.47,15.23
1.047011,964.54,928.35,13.79
1.062638,965.88,928.33,17.70
1.078265,965.54,920.54,13.02
1.093892,961.95,923.53,15.00
1.109519,958.71,918.07,15.10
1.125147,953.40,918.17,15.68
1.140774,947.31,904.32,14.53
1.156401,933.65,899.74,15.94
1.172028,935.00,895.32,16.98
1.187655,929.16,890.11,14.78
1.203282,930.34,878.33,16.43
1.218909,920.07,878.78,16.64
1.234536,918.79,871.51,9.73
1.250163,904.67,864.84,13.50
1.265790,905.58,856.79,11.07
1.281417,896.56,852.55,16.61
1.297044,894.57,849.43,10.64
1.312671,894.56,848.33,14.53
1.328298,891.08,843.66,15.88
1.343925,887.32,840.52,13.99
1.359552,889.98,839.45,13.30
1.375179,884.42,838.77,14.80
1.390806,879.25,835.47,16.24
1.406433,883.55,829.03,18.13
1.422060,879.51,832.43,16.24
1.437687,884.22,826.18,15.51
1.453314,876.70,819.38,14.42
1.468941,869.24,815.49,13.60
1.484568,871.39,817.83,15.49
1.500195,867.97,807.45,13.83
1.515822,863.00,811.20,14.01
1.531449,861.64,807.66,17.13
1.547076,856.44,798.00,19.94
1.562703,857.21,801.15,16.36
1.578331,854.22,796.94,12.21
1.593958,851.69,794.67,16.22
1.609585,850.22,792.01,15.61
1.625212,853.13,792.80,12.51
1.640839,860.01,794.62,16.22
1.656466,854.40,797.04,16.81
1.672093,858.30,806.78,13.97
1.687720,869.63,808.66,14.70
