timestamp,ppg_red,ppg_infrared,ppg_ambient
0.000000,895.22,852.40,12.41
0.015627,912.08,864.56,15.68
0.031253,919.00,878.98,16.17
0.046880,931.06,885.77,11.83
0.062507,943.09,896.74,11.50
0.078133,941.60,903.76,16.53
0.093760,954.03,907.84,15.50
0.109386,952.92,919.13,15.20
0.125013,963.87,923.90,13.26
0.140640,960.96,927.95,13.30
0.156266,958.19,920.58,14.58
0.171893,963.00,924.74,14.34
0.187520,959.65,917.08,15.06
0.203146,960.43,920.67,13.16
0.218773,954.48,918.51,12.68
0.234399,947.16,915.70,14.83
0.250026,939.79,906.82,13.15
0.265653,939.54,895.09,14.42
0.281279,933.43,885.37,14.50
0.296906,921.98,886.41,14.46
0.312533,919.81,874.46,17.37
0.328159,920.27,867.54,13.88
0.343786,910.71,868.29,13.60
0.359412,904.26,853.98,13.74
0.375039,893.56,852.30,14.78
0.390666,900.11,848.56,17.56
0.406292,896.20,852.68,16.33
0.421919,892.76,837.45,16.38
0.437546,884.11,842.91,14.17
0.453172,885.35,839.44,16.27
0.468799,879.86,834.29,14.26
0.484425,886.80,833.28,13.61
0.500052,880.43,827.74,16.78
0.515679,878.40,829.34,16.84
0.531305,880.41,813.00,11.62
0.546932,874.30,820.73,10.85
0.562559,872.12,817.25,13.54
0.578185,866.06,820.45,13.68
0.593812,864.19,806.44,15.48
0.609438,863.22,803.44,13.66
0.625065,858.48,802.21,16.29
0.640692,856.93,798.99,17.07
0.656318,848.26,797.23,14.37
0.671945,850.74,795.80,12.13
0.687572,853.09,798.13,13.01
0.703198,850.94,793.81,13.84
0.718825,853.84,791.34,15.44
0.734452,852.04,800.40,8.66
0.750078,862.58,803.70,15.97
0.765705,856.24,804.10,14.01
0.781331,868.69,811.00,15.62
0.796958,880.16,823.71,17.33
0.812585,881.10,825.66,12.55
0.828211,888.89,830.16,17.91
0.843838,902.30,843.86,13.84
0.859465,908.75,855.26,15.00
0.875091,913.85,865.14,14.38
0.890718,924.14,877.77,18.91
0.906344,934.44,890.35,15.24
0.921971,942.61,895.49,16.76
0.937598,947.67,910.76,16.61
0.953224,954.74,913.84,17.19
0.968851,958.80,916.05,11.46
0.984478,960.46,925.77,17.40
1.000104,962.03,926.74,12.80
1.015731,963.83,930.08,14.29
1.031357,963.79,926.12,15.58
1.046984,955.48,930.25,18.00
1.062611,959.87,918.86,15.31
1.078237,957.17,912.83,17.51
1.093864,950.85,909.21,16.36
1.109491,946.09,899.49,13.78
1.125117,937.47,889.45,16.59
1.140744,934.14,891.76,16.83
1.156370,932.29,883.55,13.82
1.171997,922.07,876.39,17.61
1.187624,916.16,867.23,13.95
1.203250,909.07,863.86,14.53
1.218877,907.34,857.66,17.11
1.234504,901.41,857.35,16.38
1.250130,898.97,850.70,13.05
1.265757,894.94,848.95,14.52
1.281383,892.52,843.36,15.05
1.297010,887.03,837.90,15.53
1.312637,884.79,829.92,16.57
1.328263,882.29,838.46,17.89
1.343890,885.93,833.78,13.89
1.359517,887.18,835.08,15.07
1.375143,877.97,824.45,15.82
1.390770,877.16,827.53,15.37
1.406396,868.15,818.71,16.86
1.422023,875.89,814.92,15.45
1.437650,869.60,819.29,18.99
1.453276,867.00,815.27,12.91
1.468903,863.91,810.21,13.44
1.484530,862.05,799.82,13.47
1.500156,860.24,799.75,16.08
1.515783,854.02,794.05,14.54
1.531410,848.60,788.95,16.56
1.547036,853.52,790.17,14.04
1.562663,852.21,796.18,20.29
1.578289,855.18,792.48,12.60
1.593916,853.39,807.03,18.61
1.609543,858.86,805.75,11.57
1.625169,860.17,808.90,15.18
1.640796,863.68,811.74,12.52
1.656423,879.79,820.71,15.88
1.672049,883.27,840.75,15.19
1.687676,888.29,843.26,12.96
1.703302,899.81,848.65,18.94
1.718929,911.22,859.76,15.62
1.734556,923.96,870.37,11.87
1.750182,925.41,883.48,14.35
1.765809,936.45,895.98,19.75
1.781436,948.49,897.32,12.47
1.797062,951.07,910.05,11.57
1.812689,957.60,912.31,14.58
1.828315,959.87,918.83,16.13
1.843942,962.31,928.04,18.71
1.859569,962.88,930.84,14.15
1.875195,965.56,925.46,15.11
1.890822,966.71,934.00,15.75
1.906449,966.17,924.75,14.97
1.922075,957.24,917.26,18.98
1.937702,958.89,915.75,16.28
1.953328,953.76,909.96,16.60
1.968955,940.51,904.05,15.35
1.984582,937.17,897.26,15.23
2.000208,936.71,890.47,12.65
2.015835,929.66,878.50,16.22
2.031462,921.59,878.06,13.99
2.047088,916.92,872.05,13.81
2.062715,907.74,862.74,16.77
2.078341,901.43,855.35,13.32
2.093968,904.14,858.20,15.90
2.109595,901.64,851.08,15.21
2.125221,902.19,844.55,15.24
2.140848,892.92,844.66,15.35
2.156475,888.10,842.50,12.07
2.172101,887.97,845.89,14.71
2.187728,890.09,835.62,18.32
2.203355,888.80,831.18,14.20
2.218981,882.68,828.36,14.75
2.234608,879.10,829.77,18.90
2.250234,875.78,819.52,13.73
2.265861,880.94,825.02,14.03
2.281488,873.12,817.96,15.07
2.297114,871.79,820.13,15.13
2.312741,866.33,812.92,15.89
2.328368,866.53,804.51,17.63
2.343994,864.00,802.09,8.82
2.359621,860.18,797.50,15.29
2.375247,853.88,803.38,14.32
2.390874,855.91,795.74,12.04
2.406501,852.01,795.82,13.94
2.422127,850.91,795.52,16.88
2.437754,859.57,796.53,17.03
2.453381,858.80,799.18,16.38
2.469007,862.09,805.91,14.89
2.484634,867.52,809.56,14.73
2.500260,867.14,815.32,15.96
2.515887,882.83,821.62,16.19
2.531514,885.36,836.05,17.51
2.547140,891.94,841.11,11.10
2.562767,901.48,857.81,16.01
2.578394,913.40,867.95,12.57
2.594020,925.35,879.76,13.14
2.609647,926.72,884.89,14.47
2.625273,934.38,893.61,13.68
2.640900,950.93,905.23,18.79
2.656527,954.00,914.27,14.91
2.672153,959.07,921.14,17.19
2.687780,961.78,927.04,15.18
2.703407,965.92,928.12,18.15
2.719033,963.38,932.81,17.44
2.734660,966.43,924.97,14.98
2.750286,967.28,929.87,13.24
2.765913,961.33,923.15,16.19
2.781540,962.12,922.68,16.05
2.797166,952.70,921.13,11.53
2.812793,952.53,910.16,17.65
2.828420,946.14,903.63,15.39
2.844046,939.11,892.52,16.05
2.859673,935.41,895.09,13.31
2.875300,926.61,882.92,13.89
2.890926,926.48,876.99,14.04
2.906553,915.66,874.92,16.91
2.922179,910.23,864.90,14.41
2.937806,910.36,856.05,14.27
2.953433,901.89,852.54,13.21
2.969059,901.69,847.46,14.39
2.984686,896.56,849.22,13.46
3.000313,894.06,845.71,12.73
3.015939,892.93,838.91,14.76
3.031566,891.09,842.71,16.67
3.047192,882.22,839.14,15.07
3.062819,888.35,829.26,16.74
3.078446,890.20,835.84,12.19
3.094072,877.93,833.42,15.53
3.109699,876.39,822.95,15.18
3.125326,875.08,820.80,16.78
3.140952,874.27,818.36,17.96
3.156579,867.46,817.86,15.51
3.172205,865.27,815.35,14.17
3.187832,860.71,812.26,14.13
3.203459,860.29,804.92,14.06
3.219085,853.87,800.44,14.89
3.234712,853.74,795.44,15.33
3.250339,853.60,800.47,16.84
3.265965,851.18,797.34,14.48
3.281592,853.81,799.67,13.24
3.297218,855.29,796.89,17.18
3.312845,862.83,804.46,19.91
3.328472,864.34,808.78,16.07
3.344098,866.88,805.70,13.00
3.359725,874.78,817.72,14.60
3.375352,878.86,826.05,15.07
3.390978,890.51,835.40,14.40
3.406605,900.25,840.83,11.34
3.422231,908.33,855.25,14.33
3.437858,916.29,872.37,14.43
3.453485,927.25,874.98,17.24
3.469111,933.36,894.29,18.54
3.484738,943.91,901.09,16.27
3.500365,950.08,906.84,14.54
3.515991,963.57,917.24,15.47
3.531618,964.84,921.62,11.88
3.547245,965.64,925.35,16.66
3.562871,968.27,933.81,13.67
3.578498,974.08,938.59,14.75
3.594124,972.27,932.16,15.03
3.609751,968.64,927.49,15.15
3.625378,965.23,929.89,13.10
3.641004,956.93,912.47,11.34
3.656631,954.85,913.84,17.05
3.672258,952.38,910.34,15.03
3.687884,946.18,904.53,15.54
3.703511,941.16,896.92,13.83
3.719137,937.50,891.88,14.56
3.734764,932.95,880.91,16.34
3.750391,917.86,871.71,17.39
3.766017,918.79,869.83,16.93
3.781644,914.71,864.56,12.26
3.797271,907.69,857.74,16.10
3.812897,906.99,856.60,12.32
3.828524,903.95,850.39,11.15
3.844150,894.03,851.56,14.78
3.859777,900.70,847.99,15.43
3.875404,899.19,842.54,17.91
3.891030,886.09,842.03,13.74
3.906657,891.19,834.58,13.81
3.922284,888.92,835.13,16.83
3.937910,889.75,836.95,12.76
3.953537,889.80,827.17,12.42
3.969163,883.35,831.33,15.21
3.984790,880.16,827.05,13.87
4.000417,874.69,817.96,16.66
4.016043,873.44,813.48,13.27
4.031670,871.91,813.38,14.62
4.047297,867.32,804.18,14.87
4.062923,867.54,804.97,16.95
4.078550,860.97,802.27,14.76
4.094176,859.12,803.11,19.76
4.109803,853.64,796.57,10.33
4.125430,854.70,795.16,17.13
4.141056,857.32,795.43,14.48
4.156683,856.38,797.53,13.77
4.172310,864.35,799.65,15.65
4.187936,863.41,802.02,16.84
4.203563,865.85,812.05,11.12
4.219189,875.89,817.44,15.49
4.234816,878.09,825.15,14.05
4.250443,889.95,834.21,14.62
4.266069,896.82,849.01,14.73
4.281696,903.84,853.73,12.42
4.297323,912.94,870.59,15.77
4.312949,923.65,879.31,14.03
4.328576,934.31,891.33,15.88
4.344203,944.48,895.62,14.69
4.359829,947.08,899.15,16.21
4.375456,958.28,913.04,14.57
4.391082,956.97,915.57,14.95
4.406709,962.63,923.68,18.35
4.422336,967.14,926.38,12.98
4.437962,969.29,923.88,13.96
4.453589,971.85,936.14,13.84
4.469216,968.82,929.32,14.34
4.484842,971.44,932.82,20.40
4.500469,959.82,919.77,16.70
4.516095,962.58,916.37,12.42
4.531722,955.31,907.36,17.38
4.547349,945.22,905.20,13.38
4.562975,938.57,900.08,14.53
4.578602,939.21,890.24,13.14
4.594229,931.72,886.59,17.57
4.609855,926.81,875.66,14.28
4.625482,917.95,870.32,14.64
4.641108,912.70,865.27,13.82
4.656735,911.42,856.42,12.77
4.672362,908.18,853.19,14.67
4.687988,905.54,852.91,18.67
4.703615,896.15,853.95,13.15
4.719242,899.92,849.35,14.79
4.734868,892.24,840.81,15.46
4.750495,894.76,845.43,10.65
4.766121,892.38,838.50,16.39
4.781748,891.45,831.02,13.43
4.797375,884.59,829.53,14.41
4.813001,884.60,828.29,11.86
4.828628,879.83,828.61,17.51
4.844255,882.08,828.31,14.03
4.859881,878.83,820.96,16.58
4.875508,875.20,819.69,14.30
4.891134,865.62,817.11,15.95
4.906761,865.09,810.93,13.20
4.922388,868.92,806.96,16.40
4.938014,859.29,803.31,12.23
4.953641,858.01,802.37,12.94
4.969268,856.50,798.10,15.58
4.984894,858.75,795.67,15.00
5.000521,853.36,794.63,13.94
5.016148,855.34,800.48,12.94
5.031774,862.15,795.84,15.46
5.047401,866.96,811.02,14.60
5.063027,868.70,807.34,14.92
5.078654,871.30,820.38,12.76
5.094281,883.89,824.24,16.93
5.109907,881.95,834.42,14.80
5.125534,895.91,846.39,17.92
5.141161,902.30,853.58,10.91
5.156787,913.46,867.88,13.08
5.172414,923.21,873.36,14.75
5.188040,931.89,885.72,18.91
5.203667,942.58,897.50,11.26
5.219294,946.60,901.89,15.14
5.234920,953.60,914.20,15.16
5.250547,963.48,916.57,11.83
5.266174,967.41,926.75,13.80
5.281800,972.55,926.34,14.70
