timestamp,ppg_red,ppg_infrared,ppg_ambient
0.000000,909.49,852.67,14.87
0.015627,914.49,877.36,16.67
0.031254,925.38,885.20,11.91
0.046881,933.11,903.33,15.74
0.062508,945.37,909.11,14.04
0.078135,952.91,924.37,14.96
0.093762,956.31,928.56,18.76
0.109389,962.51,920.94,14.35
0.125016,963.01,929.05,17.63
0.140643,957.51,930.40,10.78
0.156270,946.48,914.70,12.23
0.171897,947.75,911.07,15.19
0.187524,938.53,898.76,17.34
0.203151,929.30,888.66,13.96
0.218778,923.94,884.49,12.33
0.234406,915.36,870.33,13.62
0.250033,918.99,865.77,17.34
0.265660,901.61,858.40,12.69
0.281287,900.53,851.20,12.78
0.296914,899.86,850.04,17.01
0.312541,889.23,843.05,14.34
0.328168,892.71,840.72,15.11
0.343795,887.31,833.83,15.62
0.359422,888.21,829.35,16.41
0.375049,877.89,832.78,17.88
0.390676,881.94,816.99,10.83
0.406303,869.05,825.61,16.59
0.421930,872.72,823.86,14.66
0.437557,868.16,808.10,13.73
0.453184,861.62,804.01,12.10
0.468811,853.05,796.58,11.94
0.484438,855.49,794.70,13.87
0.500065,852.34,793.28,13.08
0.515692,850.52,792.34,15.32
0.531319,849.54,792.30,18.46
0.546946,853.55,798.46,18.81
0.562573,861.96,807.13,13.66
0.578200,875.23,813.60,14.55
0.593827,876.27,822.55,14.19
0.609454,891.37,835.60,16.04
0.625081,903.58,852.46,16.94
0.640708,915.35,865.40,13.38
0.656335,922.34,882.45,11.33
0.671962,929.99,899.05,17.73
0.687590,944.15,911.50,13.86
0.703217,949.47,916.60,12.81
0.718844,956.27,919.54,11.67
0.734471,965.44,933.55,14.18
0.750098,957.40,925.28,18.02
0.765725,953.00,928.75,13.37
0.781352,950.15,918.25,15.80
0.796979,949.22,915.01,11.45
0.812606,942.25,907.16,15.23
0.828233,938.15,891.69,13.24
0.843860,922.85,885.13,15.16
0.859487,923.87,874.51,16.33
0.875114,913.36,869.51,12.76
0.890741,908.78,859.05,16.46
0.906368,896.83,853.83,13.28
0.921995,897.68,850.23,14.46
0.937622,892.72,840.17,13.80
0.953249,885.31,844.18,14.33
0.968876,893.96,836.51,17.08
0.984503,886.24,832.21,13.20
1.000130,882.21,826.28,14.19
1.015757,876.18,821.19,13.58
1.031384,874.19,827.19,16.41
1.047011,868.12,815.24,15.68
1.062638,866.11,810.66,16.69
1.078265,865.60,800.77,15.69
1.093892,858.30,802.84,16.23
1.109519,853.31,799.89,10.39
1.125147,848.79,793.52,15.03
1.140774,850.87,797.15,11.37
1.156401,851.56,792.37,17.28
1.172028,857.56,795.84,13.17
1.187655,857.17,803.33,13.86
1.203282,860.31,812.53,15.19
1.218909,872.36,815.73,15.57
1.234536,882.34,836.35,15.75
1.250163,897.15,847.01,17.74
1.265790,913.95,864.35,14.26
1.281417,922.27,875.02,16.30
