timestamp,photon_count,condition
0.000,4,baseline_eyes_closed
0.100,4,baseline_eyes_closed
0.200,3,baseline_eyes_closed
0.300,6,baseline_eyes_closed
0.400,5,baseline_eyes_closed
0.500,5,baseline_eyes_closed
0.600,1,baseline_eyes_closed
0.700,9,baseline_eyes_closed
0.800,6,baseline_eyes_closed
0.900,5,baseline_eyes_closed
1.000,7,baseline_eyes_closed
1.100,2,baseline_eyes_closed
1.200,2,baseline_eyes_closed
1.300,4,baseline_eyes_closed
1.400,7,baseline_eyes_closed
1.501,5,baseline_eyes_closed
1.601,6,baseline_eyes_closed
1.701,3,baseline_eyes_closed
1.801,1,baseline_eyes_closed
1.901,2,baseline_eyes_closed
2.001,3,baseline_eyes_closed
2.101,3,baseline_eyes_closed
2.201,7,baseline_eyes_closed
2.301,5,baseline_eyes_closed
2.401,4,baseline_eyes_closed
2.501,0,baseline_eyes_closed
2.601,5,baseline_eyes_closed
2.701,4,baseline_eyes_closed
2.801,10,baseline_eyes_closed
2.901,2,baseline_eyes_closed
3.001,6,baseline_eyes_closed
3.101,5,baseline_eyes_closed
3.201,1,baseline_eyes_closed
3.301,4,baseline_eyes_closed
3.401,7,baseline_eyes_closed
3.501,5,baseline_eyes_closed
3.601,3,baseline_eyes_closed
3.701,2,baseline_eyes_closed
3.801,6,baseline_eyes_closed
3.901,2,baseline_eyes_closed
4.001,8,baseline_eyes_closed
4.101,1,baseline_eyes_closed
4.201,3,baseline_eyes_closed
4.301,2,baseline_eyes_closed
4.401,4,baseline_eyes_closed
4.502,4,baseline_eyes_closed
4.602,3,baseline_eyes_closed
4.702,6,baseline_eyes_closed
4.802,2,baseline_eyes_closed
4.902,3,baseline_eyes_closed
5.002,2,baseline_eyes_closed
5.102,3,baseline_eyes_closed
5.202,3,baseline_eyes_closed
5.302,5,baseline_eyes_closed
5.402,5,baseline_eyes_closed
5.502,3,baseline_eyes_closed
5.602,8,baseline_eyes_closed
5.702,4,baseline_eyes_closed
5.802,3,baseline_eyes_closed
5.902,5,baseline_eyes_closed
6.002,1,baseline_eyes_closed
6.102,4,baseline_eyes_closed
6.202,3,baseline_eyes_closed
6.302,2,baseline_eyes_closed
6.402,9,baseline_eyes_closed
6.502,6,baseline_eyes_closed
6.602,2,baseline_eyes_closed
6.702,4,baseline_eyes_closed
6.802,5,baseline_eyes_closed
6.902,3,baseline_eyes_closed
7.002,5,baseline_eyes_closed
7.102,5,baseline_eyes_closed
7.202,3,baseline_eyes_closed
7.302,4,baseline_eyes_closed
7.402,2,baseline_eyes_closed
7.503,3,baseline_eyes_closed
7.603,4,baseline_eyes_closed
7.703,6,baseline_eyes_closed
7.803,3,baseline_eyes_closed
7.903,5,baseline_eyes_closed
8.003,5,baseline_eyes_closed
8.103,5,baseline_eyes_closed
8.203,8,baseline_eyes_closed
8.303,3,baseline_eyes_closed
8.403,4,baseline_eyes_closed
8.503,4,baseline_eyes_closed
8.603,3,baseline_eyes_closed
8.703,4,baseline_eyes_closed
8.803,2,baseline_eyes_closed
8.903,2,baseline_eyes_closed
9.003,1,baseline_eyes_closed
9.103,8,baseline_eyes_closed
9.203,4,baseline_eyes_closed
9.303,7,baseline_eyes_closed
9.403,4,baseline_eyes_closed
9.503,4,baseline_eyes_closed
9.603,3,baseline_eyes_closed
9.703,3,baseline_eyes_closed
9.803,8,baseline_eyes_closed
9.903,6,baseline_eyes_closed
10.003,3,baseline_eyes_closed
10.103,4,baseline_eyes_closed
10.203,9,baseline_eyes_closed
10.303,4,baseline_eyes_closed
10.403,6,baseline_eyes_closed
10.504,7,baseline_eyes_closed
10.604,5,baseline_eyes_closed
10.704,2,baseline_eyes_closed
10.804,5,baseline_eyes_closed
10.904,4,baseline_eyes_closed
11.004,7,baseline_eyes_closed
11.104,3,baseline_eyes_closed
11.204,12,baseline_eyes_closed
11.304,7,baseline_eyes_closed
11.404,4,baseline_eyes_closed
11.504,0,baseline_eyes_closed
11.604,8,baseline_eyes_closed
11.704,7,baseline_eyes_closed
11.804,0,baseline_eyes_closed
11.904,3,baseline_eyes_closed
12.004,8,baseline_eyes_closed
12.104,3,baseline_eyes_closed
12.204,4,baseline_eyes_closed
12.304,3,baseline_eyes_closed
12.404,6,baseline_eyes_closed
12.504,2,baseline_eyes_closed
12.604,4,baseline_eyes_closed
12.704,5,baseline_eyes_closed
12.804,5,baseline_eyes_closed
12.904,7,baseline_eyes_closed
13.004,3,baseline_eyes_closed
13.104,9,baseline_eyes_closed
13.204,3,baseline_eyes_closed
13.304,4,baseline_eyes_closed
13.404,5,baseline_eyes_closed
13.505,4,baseline_eyes_closed
13.605,7,baseline_eyes_closed
13.705,4,baseline_eyes_closed
13.805,4,baseline_eyes_closed
13.905,4,baseline_eyes_closed
14.005,4,baseline_eyes_closed
14.105,3,baseline_eyes_closed
14.205,5,baseline_eyes_closed
14.305,5,baseline_eyes_closed
14.405,6,baseline_eyes_closed
14.505,8,baseline_eyes_closed
14.605,4,baseline_eyes_closed
14.705,4,baseline_eyes_closed
14.805,5,baseline_eyes_closed
14.905,8,baseline_eyes_closed
15.005,4,baseline_eyes_closed
15.105,5,baseline_eyes_closed
15.205,5,baseline_eyes_closed
15.305,5,baseline_eyes_closed
15.405,1,baseline_eyes_closed
15.505,1,baseline_eyes_closed
15.605,39,baseline_eyes_closed
15.705,5,baseline_eyes_closed
15.805,4,baseline_eyes_closed
15.905,1,baseline_eyes_closed
16.005,2,baseline_eyes_closed
16.105,10,baseline_eyes_closed
16.205,6,baseline_eyes_closed
16.305,5,baseline_eyes_closed
16.405,3,baseline_eyes_closed
16.506,51,baseline_eyes_closed
16.606,6,baseline_eyes_closed
16.706,4,baseline_eyes_closed
16.806,5,baseline_eyes_closed
16.906,4,baseline_eyes_closed
17.006,2,baseline_eyes_closed
17.106,6,baseline_eyes_closed
17.206,6,baseline_eyes_closed
17.306,3,baseline_eyes_closed
17.406,4,baseline_eyes_closed
17.506,7,baseline_eyes_closed
17.606,6,baseline_eyes_closed
17.706,5,baseline_eyes_closed
17.806,2,baseline_eyes_closed
17.906,5,baseline_eyes_closed
18.006,8,baseline_eyes_closed
18.106,5,baseline_eyes_closed
18.206,4,baseline_eyes_closed
18.306,6,baseline_eyes_closed
18.406,3,baseline_eyes_closed
18.506,8,baseline_eyes_closed
18.606,3,baseline_eyes_closed
18.706,5,baseline_eyes_closed
18.806,5,baseline_eyes_closed
18.906,2,baseline_eyes_closed
19.006,5,baseline_eyes_closed
19.106,8,baseline_eyes_closed
19.206,5,baseline_eyes_closed
19.306,9,baseline_eyes_closed
19.406,6,baseline_eyes_closed
19.507,8,baseline_eyes_closed
19.607,8,baseline_eyes_closed
19.707,6,baseline_eyes_closed
19.807,3,baseline_eyes_closed
19.907,6,baseline_eyes_closed
20.007,6,baseline_eyes_closed
20.107,6,baseline_eyes_closed
20.207,4,baseline_eyes_closed
20.307,3,baseline_eyes_closed
20.407,4,baseline_eyes_closed
20.507,6,baseline_eyes_closed
20.607,3,baseline_eyes_closed
20.707,2,baseline_eyes_closed
20.807,5,baseline_eyes_closed
20.907,8,baseline_eyes_closed
21.007,3,baseline_eyes_closed
21.107,2,baseline_eyes_closed
21.207,2,baseline_eyes_closed
21.307,4,baseline_eyes_closed
21.407,3,baseline_eyes_closed
21.507,4,baseline_eyes_closed
21.607,4,baseline_eyes_closed
21.707,5,baseline_eyes_closed
21.807,5,baseline_eyes_closed
21.907,2,baseline_eyes_closed
22.007,2,baseline_eyes_closed
22.107,1,baseline_eyes_closed
22.207,2,baseline_eyes_closed
22.307,5,baseline_eyes_closed
22.407,7,baseline_eyes_closed
22.508,5,baseline_eyes_closed
22.608,7,baseline_eyes_closed
22.708,4,baseline_eyes_closed
22.808,5,baseline_eyes_closed
22.908,2,baseline_eyes_closed
23.008,4,baseline_eyes_closed
23.108,3,baseline_eyes_closed
23.208,3,baseline_eyes_closed
23.308,6,baseline_eyes_closed
23.408,4,baseline_eyes_closed
23.508,4,baseline_eyes_closed
23.608,4,baseline_eyes_closed
23.708,5,baseline_eyes_closed
23.808,7,baseline_eyes_closed
23.908,5,baseline_eyes_closed
24.008,10,baseline_eyes_closed
24.108,2,baseline_eyes_closed
24.208,6,baseline_eyes_closed
24.308,2,baseline_eyes_closed
24.408,2,baseline_eyes_closed
24.508,5,baseline_eyes_closed
24.608,1,baseline_eyes_closed
24.708,1,baseline_eyes_closed
24.808,1,baseline_eyes_closed
24.908,7,baseline_eyes_closed
25.008,5,baseline_eyes_closed
25.108,5,baseline_eyes_closed
25.208,4,baseline_eyes_closed
25.308,3,baseline_eyes_closed
25.408,4,baseline_eyes_closed
25.509,6,baseline_eyes_closed
25.609,6,baseline_eyes_closed
25.709,3,baseline_eyes_closed
25.809,7,baseline_eyes_closed
25.909,5,baseline_eyes_closed
26.009,4,baseline_eyes_closed
26.109,6,baseline_eyes_closed
26.209,4,baseline_eyes_closed
26.309,11,baseline_eyes_closed
26.409,2,baseline_eyes_closed
26.509,6,baseline_eyes_closed
26.609,6,baseline_eyes_closed
26.709,4,baseline_eyes_closed
26.809,5,baseline_eyes_closed
26.909,4,baseline_eyes_closed
27.009,4,baseline_eyes_closed
27.109,4,baseline_eyes_closed
27.209,4,baseline_eyes_closed
27.309,4,baseline_eyes_closed
27.409,2,baseline_eyes_closed
27.509,8,baseline_eyes_closed
27.609,4,baseline_eyes_closed
27.709,3,baseline_eyes_closed
27.809,0,baseline_eyes_closed
27.909,2,baseline_eyes_closed
28.009,6,baseline_eyes_closed
28.109,5,baseline_eyes_closed
28.209,1,baseline_eyes_closed
28.309,4,baseline_eyes_closed
28.409,5,baseline_eyes_closed
28.510,1,baseline_eyes_closed
28.610,5,baseline_eyes_closed
28.710,8,baseline_eyes_closed
28.810,2,baseline_eyes_closed
28.910,3,baseline_eyes_closed
29.010,7,baseline_eyes_closed
29.110,10,baseline_eyes_closed
