timestamp,photon_count,condition
0.000,5,control_no_person
0.100,4,control_no_person
0.200,5,control_no_person
0.300,2,control_no_person
0.400,3,control_no_person
0.500,4,control_no_person
0.600,10,control_no_person
0.700,2,control_no_person
0.800,7,control_no_person
0.900,8,control_no_person
1.000,4,control_no_person
1.100,9,control_no_person
1.200,2,control_no_person
1.300,9,control_no_person
1.400,7,control_no_person
1.501,3,control_no_person
1.601,6,control_no_person
1.701,2,control_no_person
1.801,3,control_no_person
1.901,5,control_no_person
2.001,3,control_no_person
2.101,0,control_no_person
2.201,4,control_no_person
2.301,4,control_no_person
2.401,4,control_no_person
2.501,2,control_no_person
2.601,3,control_no_person
2.701,3,control_no_person
2.801,5,control_no_person
2.901,4,control_no_person
3.001,4,control_no_person
3.101,8,control_no_person
3.201,5,control_no_person
3.301,5,control_no_person
3.401,3,control_no_person
3.501,4,control_no_person
3.601,4,control_no_person
3.701,6,control_no_person
3.801,5,control_no_person
3.901,2,control_no_person
4.001,7,control_no_person
4.101,5,control_no_person
4.201,6,control_no_person
4.301,4,control_no_person
4.401,3,control_no_person
4.502,6,control_no_person
4.602,3,control_no_person
4.702,5,control_no_person
4.802,5,control_no_person
4.902,4,control_no_person
5.002,0,control_no_person
5.102,2,control_no_person
5.202,7,control_no_person
5.302,3,control_no_person
5.402,5,control_no_person
5.502,3,control_no_person
5.602,3,control_no_person
5.702,55,control_no_person
5.802,4,control_no_person
5.902,4,control_no_person
6.002,4,control_no_person
6.102,2,control_no_person
6.202,4,control_no_person
6.302,6,control_no_person
6.402,4,control_no_person
6.502,6,control_no_person
6.602,3,control_no_person
6.702,3,control_no_person
6.802,4,control_no_person
6.902,2,control_no_person
7.002,5,control_no_person
7.102,3,control_no_person
7.202,1,control_no_person
7.302,3,control_no_person
7.402,3,control_no_person
7.503,3,control_no_person
7.603,6,control_no_person
7.703,4,control_no_person
7.803,0,control_no_person
7.903,3,control_no_person
8.003,3,control_no_person
8.103,6,control_no_person
8.203,0,control_no_person
8.303,5,control_no_person
8.403,3,control_no_person
8.503,3,control_no_person
8.603,3,control_no_person
8.703,4,control_no_person
8.803,7,control_no_person
8.903,1,control_no_person
9.003,1,control_no_person
9.103,4,control_no_person
9.203,5,control_no_person
9.303,5,control_no_person
9.403,1,control_no_person
9.503,5,control_no_person
9.603,4,control_no_person
9.703,5,control_no_person
9.803,4,control_no_person
9.903,11,control_no_person
10.003,5,control_no_person
10.103,5,control_no_person
10.203,4,control_no_person
10.303,7,control_no_person
10.403,4,control_no_person
10.504,4,control_no_person
10.604,6,control_no_person
10.704,4,control_no_person
10.804,5,control_no_person
10.904,5,control_no_person
11.004,4,control_no_person
11.104,3,control_no_person
11.204,3,control_no_person
11.304,10,control_no_person
11.404,6,control_no_person
11.504,8,control_no_person
11.604,2,control_no_person
11.704,3,control_no_person
11.804,6,control_no_person
11.904,1,control_no_person
12.004,5,control_no_person
12.104,4,control_no_person
12.204,4,control_no_person
12.304,2,control_no_person
12.404,2,control_no_person
12.504,4,control_no_person
12.604,4,control_no_person
12.704,4,control_no_person
12.804,4,control_no_person
12.904,8,control_no_person
13.004,7,control_no_person
13.104,4,control_no_person
13.204,1,control_no_person
13.304,3,control_no_person
13.404,2,control_no_person
13.505,7,control_no_person
13.605,4,control_no_person
13.705,4,control_no_person
13.805,6,control_no_person
13.905,1,control_no_person
14.005,3,control_no_person
14.105,3,control_no_person
14.205,5,control_no_person
14.305,8,control_no_person
14.405,1,control_no_person
14.505,6,control_no_person
14.605,6,control_no_person
14.705,2,control_no_person
14.805,6,control_no_person
14.905,4,control_no_person
15.005,6,control_no_person
15.105,6,control_no_person
15.205,10,control_no_person
15.305,3,control_no_person
15.405,4,control_no_person
15.505,7,control_no_person
15.605,2,control_no_person
15.705,5,control_no_person
15.805,2,control_no_person
15.905,6,control_no_person
16.005,3,control_no_person
16.105,7,control_no_person
16.205,6,control_no_person
16.305,5,control_no_person
16.405,4,control_no_person
16.506,5,control_no_person
16.606,2,control_no_person
16.706,3,control_no_person
16.806,2,control_no_person
16.906,4,control_no_person
17.006,3,control_no_person
17.106,6,control_no_person
17.206,7,control_no_person
17.306,5,control_no_person
17.406,7,control_no_person
17.506,6,control_no_person
17.606,1,control_no_person
17.706,6,control_no_person
17.806,5,control_no_person
17.906,5,control_no_person
18.006,6,control_no_person
18.106,4,control_no_person
18.206,5,control_no_person
18.306,3,control_no_person
18.406,1,control_no_person
18.506,4,control_no_person
18.606,4,control_no_person
18.706,2,control_no_person
18.806,4,control_no_person
18.906,3,control_no_person
19.006,7,control_no_person
19.106,2,control_no_person
19.206,5,control_no_person
19.306,3,control_no_person
19.406,3,control_no_person
19.507,3,control_no_person
19.607,4,control_no_person
19.707,6,control_no_person
19.807,1,control_no_person
19.907,3,control_no_person
20.007,9,control_no_person
20.107,6,control_no_person
20.207,4,control_no_person
20.307,8,control_no_person
20.407,7,control_no_person
20.507,7,control_no_person
20.607,7,control_no_person
20.707,7,control_no_person
20.807,2,control_no_person
20.907,3,control_no_person
21.007,4,control_no_person
21.107,5,control_no_person
21.207,8,control_no_person
21.307,2,control_no_person
21.407,6,control_no_person
21.507,4,control_no_person
21.607,2,control_no_person
21.707,3,control_no_person
21.807,6,control_no_person
21.907,4,control_no_person
22.007,0,control_no_person
22.107,1,control_no_person
22.207,3,control_no_person
22.307,0,control_no_person
22.407,2,control_no_person
22.508,1,control_no_person
22.608,3,control_no_person
22.708,5,control_no_person
22.808,5,control_no_person
22.908,4,control_no_person
23.008,5,control_no_person
23.108,5,control_no_person
23.208,5,control_no_person
23.308,5,control_no_person
23.408,3,control_no_person
23.508,7,control_no_person
23.608,2,control_no_person
23.708,0,control_no_person
23.808,3,control_no_person
23.908,2,control_no_person
24.008,2,control_no_person
24.108,3,control_no_person
24.208,7,control_no_person
24.308,3,control_no_person
24.408,6,control_no_person
24.508,4,control_no_person
24.608,7,control_no_person
24.708,2,control_no_person
24.808,6,control_no_person
24.908,9,control_no_person
25.008,9,control_no_person
25.108,3,control_no_person
25.208,3,control_no_person
25.308,4,control_no_person
25.408,6,control_no_person
25.509,8,control_no_person
25.609,4,control_no_person
25.709,2,control_no_person
25.809,6,control_no_person
25.909,4,control_no_person
26.009,5,control_no_person
26.109,3,control_no_person
26.209,2,control_no_person
26.309,4,control_no_person
26.409,4,control_no_person
26.509,4,control_no_person
26.609,9,control_no_person
26.709,5,control_no_person
26.809,4,control_no_person
26.909,4,control_no_person
27.009,1,control_no_person
27.109,3,control_no_person
27.209,5,control_no_person
27.309,2,control_no_person
27.409,5,control_no_person
27.509,2,control_no_person
27.609,4,control_no_person
27.709,3,control_no_person
27.809,5,control_no_person
27.909,2,control_no_person
28.009,3,control_no_person
28.109,3,control_no_person
28.209,1,control_no_person
28.309,4,control_no_person
28.409,5,control_no_person
28.510,2,control_no_person
28.610,3,control_no_person
28.710,7,control_no_person
28.810,2,control_no_person
28.910,5,control_no_person
29.010,0,control_no_person
29.110,9,control_no_person
29.210,6,control_no_person
29.310,4,control_no_person
29.410,8,control_no_person
29.510,2,control_no_person
29.610,2,control_no_person
29.710,7,control_no_person
29.810,2,control_no_person
29.910,1,control_no_person
30.010,4,control_no_person
30.110,3,control_no_person
30.210,9,control_no_person
30.310,4,control_no_person
30.410,5,control_no_person
30.510,3,control_no_person
30.610,4,control_no_person
30.710,3,control_no_person
30.810,4,control_no_person
30.910,4,control_no_person
31.010,3,control_no_person
31.110,8,control_no_person
31.210,3,control_no_person
31.310,3,control_no_person
31.410,4,control_no_person
31.511,0,control_no_person
31.611,2,control_no_person
31.711,7,control_no_person
31.811,3,control_no_person
31.911,4,control_no_person
32.011,5,control_no_person
32.111,7,control_no_person
32.211,6,control_no_person
32.311,5,control_no_person
32.411,4,control_no_person
32.511,4,control_no_person
32.611,4,control_no_person
32.711,5,control_no_person
32.811,1,control_no_person
32.911,2,control_no_person
33.011,4,control_no_person
33.111,4,control_no_person
33.211,4,control_no_person
33.311,4,control_no_person
33.411,6,control_no_person
33.511,5,control_no_person
33.611,3,control_no_person
33.711,6,control_no_person
33.811,7,control_no_person
33.911,6,control_no_person
34.011,5,control_no_person
34.111,2,control_no_person
34.211,4,control_no_person
34.311,5,control_no_person
34.411,6,control_no_person
34.512,6,control_no_person
34.612,9,control_no_person
34.712,5,control_no_person
34.812,5,control_no_person
34.912,4,control_no_person
35.012,5,control_no_person
35.112,9,control_no_person
35.212,2,control_no_person
35.312,5,control_no_person
35.412,5,control_no_person
35.512,3,control_no_person
35.612,4,control_no_person
35.712,9,control_no_person
35.812,6,control_no_person
35.912,5,control_no_person
36.012,4,control_no_person
36.112,4,control_no_person
36.212,4,control_no_person
36.312,3,control_no_person
36.412,2,control_no_person
36.512,5,control_no_person
36.612,5,control_no_person
36.712,3,control_no_person
36.812,7,control_no_person
36.912,3,control_no_person
37.012,4,control_no_person
37.112,4,control_no_person
37.212,10,control_no_person
37.312,5,control_no_person
37.412,5,control_no_person
37.513,1,control_no_person
37.613,4,control_no_person
37.713,6,control_no_person
37.813,5,control_no_person
37.913,4,control_no_person
38.013,5,control_no_person
38.113,2,control_no_person
38.213,4,control_no_person
38.313,2,control_no_person
38.413,6,control_no_person
38.513,8,control_no_person
38.613,3,control_no_person
38.713,5,control_no_person
38.813,8,control_no_person
38.913,5,control_no_person
39.013,6,control_no_person
39.113,4,control_no_person
39.213,8,control_no_person
39.313,2,control_no_person
39.413,1,control_no_person
39.513,3,control_no_person
39.613,3,control_no_person
39.713,6,control_no_person
39.813,2,control_no_person
39.913,0,control_no_person
40.013,2,control_no_person
40.113,5,control_no_person
40.213,4,control_no_person
40.313,3,control_no_person
40.413,6,control_no_person
40.514,2,control_no_person
40.614,3,control_no_person
40.714,9,control_no_person
40.814,3,control_no_person
40.914,6,control_no_person
41.014,1,control_no_person
41.114,5,control_no_person
41.214,9,control_no_person
41.314,7,control_no_person
41.414,3,control_no_person
41.514,2,control_no_person
41.614,3,control_no_person
41.714,5,control_no_person
41.814,3,control_no_person
41.914,4,control_no_person
42.014,4,control_no_person
42.114,4,control_no_person
42.214,4,control_no_person
42.314,5,control_no_person
42.414,1,control_no_person
42.514,3,control_no_person
42.614,2,control_no_person
42.714,6,control_no_person
42.814,6,control_no_person
42.914,3,control_no_person
43.014,4,control_no_person
43.114,6,control_no_person
43.214,0,control_no_person
43.314,6,control_no_person
43.414,6,control_no_person
43.515,8,control_no_person
43.615,4,control_no_person
43.715,7,control_no_person
43.815,1,control_no_person
43.915,2,control_no_person
44.015,4,control_no_person
44.115,6,control_no_person
44.215,2,control_no_person
44.315,2,control_no_person
44.415,5,control_no_person
44.515,4,control_no_person
44.615,5,control_no_person
44.715,4,control_no_person
44.815,4,control_no_person
44.915,5,control_no_person
45.015,3,control_no_person
45.115,7,control_no_person
45.215,4,control_no_person
45.315,4,control_no_person
45.415,4,control_no_person
45.515,2,control_no_person
45.615,6,control_no_person
45.715,5,control_no_person
45.815,8,control_no_person
45.915,5,control_no_person
46.015,3,control_no_person
46.115,5,control_no_person
46.215,7,control_no_person
46.315,6,control_no_person
46.415,3,control_no_person
46.516,5,control_no_person
46.616,6,control_no_person
46.716,6,control_no_person
46.816,4,control_no_person
46.916,5,control_no_person
47.016,6,control_no_person
47.116,4,control_no_person
47.216,2,control_no_person
47.316,10,control_no_person
47.416,5,control_no_person
47.516,4,control_no_person
47.616,3,control_no_person
47.716,4,control_no_person
47.816,1,control_no_person
47.916,4,control_no_person
48.016,8,control_no_person
48.116,4,control_no_person
48.216,2,control_no_person
48.316,3,control_no_person
48.416,4,control_no_person
48.516,6,control_no_person
48.616,4,control_no_person
48.716,2,control_no_person
48.816,4,control_no_person
48.916,2,control_no_person
49.016,5,control_no_person
49.116,6,control_no_person
49.216,5,control_no_person
49.316,4,control_no_person
49.416,2,control_no_person
49.517,3,control_no_person
49.617,5,control_no_person
49.717,6,control_no_person
49.817,6,control_no_person
49.917,2,control_no_person
50.017,3,control_no_person
50.117,0,control_no_person
50.217,1,control_no_person
50.317,0,control_no_person
50.417,3,control_no_person
50.517,4,control_no_person
50.617,1,control_no_person
50.717,5,control_no_person
50.817,7,control_no_person
50.917,7,control_no_person
51.017,3,control_no_person
51.117,4,control_no_person
51.217,5,control_no_person
51.317,2,control_no_person
51.417,3,control_no_person
51.517,4,control_no_person
51.617,4,control_no_person
51.717,2,control_no_person
51.817,4,control_no_person
51.917,4,control_no_person
52.017,5,control_no_person
52.117,6,control_no_person
52.217,1,control_no_person
52.317,9,control_no_person
52.417,3,control_no_person
52.518,1,control_no_person
52.618,4,control_no_person
52.718,6,control_no_person
52.818,2,control_no_person
52.918,7,control_no_person
53.018,1,control_no_person
53.118,3,control_no_person
53.218,9,control_no_person
53.318,4,control_no_person
53.418,5,control_no_person
53.518,6,control_no_person
53.618,3,control_no_person
53.718,6,control_no_person
53.818,4,control_no_person
53.918,4,control_no_person
54.018,3,control_no_person
54.118,2,control_no_person
54.218,2,control_no_person
54.318,4,control_no_person
54.418,6,control_no_person
54.518,3,control_no_person
54.618,4,control_no_person
54.718,2,control_no_person
54.818,10,control_no_person
54.918,0,control_no_person
55.018,3,control_no_person
55.118,5,control_no_person
55.218,4,control_no_person
55.318,6,control_no_person
55.418,4,control_no_person
55.519,1,control_no_person
55.619,7,control_no_person
55.719,7,control_no_person
55.819,4,control_no_person
55.919,8,control_no_person
56.019,7,control_no_person
56.119,6,control_no_person
56.219,4,control_no_person
56.319,7,control_no_person
56.419,5,control_no_person
56.519,4,control_no_person
56.619,4,control_no_person
56.719,6,control_no_person
56.819,4,control_no_person
56.919,12,control_no_person
57.019,1,control_no_person
57.119,5,control_no_person
57.219,8,control_no_person
57.319,4,control_no_person
57.419,7,control_no_person
57.519,2,control_no_person
57.619,4,control_no_person
57.719,6,control_no_person
57.819,5,control_no_person
57.919,5,control_no_person
58.019,5,control_no_person
58.119,3,control_no_person
58.219,3,control_no_person
58.319,4,control_no_person
58.419,3,control_no_person
58.520,6,control_no_person
58.620,4,control_no_person
58.720,4,control_no_person
58.820,3,control_no_person
58.920,4,control_no_person
59.020,8,control_no_person
59.120,2,control_no_person
59.220,5,control_no_person
59.320,5,control_no_person
59.420,4,control_no_person
59.520,3,control_no_person
59.620,7,control_no_person
59.720,1,control_no_person
59.820,1,control_no_person
59.920,3,control_no_person
60.020,6,control_no_person
60.120,3,control_no_person
60.220,3,control_no_person
60.320,4,control_no_person
60.420,6,control_no_person
60.520,3,control_no_person
60.620,7,control_no_person
60.720,3,control_no_person
60.820,5,control_no_person
60.920,2,control_no_person
61.020,3,control_no_person
61.120,3,control_no_person
61.220,3,control_no_person
61.320,3,control_no_person
61.420,5,control_no_person
61.521,3,control_no_person
61.621,4,control_no_person
61.721,5,control_no_person
61.821,4,control_no_person
61.921,6,control_no_person
62.021,7,control_no_person
62.121,6,control_no_person
62.221,4,control_no_person
62.321,5,control_no_person
62.421,3,control_no_person
62.521,1,control_no_person
62.621,7,control_no_person
62.721,3,control_no_person
62.821,3,control_no_person
62.921,3,control_no_person
63.021,1,control_no_person
63.121,0,control_no_person
63.221,4,control_no_person
63.321,5,control_no_person
63.421,8,control_no_person
63.521,1,control_no_person
63.621,4,control_no_person
63.721,4,control_no_person
63.821,4,control_no_person
63.921,4,control_no_person
64.021,6,control_no_person
64.121,9,control_no_person
64.221,4,control_no_person
64.321,2,control_no_person
64.421,4,control_no_person
64.522,4,control_no_person
64.622,3,control_no_person
64.722,3,control_no_person
64.822,6,control_no_person
64.922,4,control_no_person
65.022,6,control_no_person
65.122,7,control_no_person
65.222,4,control_no_person
65.322,4,control_no_person
65.422,4,control_no_person
65.522,7,control_no_person
65.622,6,control_no_person
65.722,8,control_no_person
65.822,5,control_no_person
65.922,3,control_no_person
66.022,3,control_no_person
66.122,2,control_no_person
66.222,4,control_no_person
66.322,5,control_no_person
66.422,2,control_no_person
66.522,7,control_no_person
66.622,4,control_no_person
66.722,5,control_no_person
66.822,6,control_no_person
66.922,5,control_no_person
67.022,4,control_no_person
67.122,2,control_no_person
67.222,5,control_no_person
67.322,7,control_no_person
67.422,4,control_no_person
67.523,8,control_no_person
67.623,6,control_no_person
67.723,5,control_no_person
67.823,2,control_no_person
67.923,3,control_no_person
68.023,6,control_no_person
68.123,6,control_no_person
68.223,3,control_no_person
68.323,5,control_no_person
68.423,7,control_no_person
68.523,4,control_no_person
68.623,4,control_no_person
68.723,2,control_no_person
68.823,3,control_no_person
68.923,7,control_no_person
69.023,4,control_no_person
69.123,5,control_no_person
69.223,1,control_no_person
