timestamp,photon_count,condition
0.000,3,mental_math_2
0.100,6,mental_math_2
0.200,4,mental_math_2
0.300,4,mental_math_2
0.400,5,mental_math_2
0.500,3,mental_math_2
0.600,5,mental_math_2
0.700,6,mental_math_2
0.800,5,mental_math_2
0.900,2,mental_math_2
1.000,3,mental_math_2
1.100,2,mental_math_2
1.200,2,mental_math_2
1.300,4,mental_math_2
1.400,4,mental_math_2
1.501,3,mental_math_2
1.601,7,mental_math_2
1.701,8,mental_math_2
1.801,4,mental_math_2
1.901,3,mental_math_2
2.001,1,mental_math_2
2.101,4,mental_math_2
2.201,5,mental_math_2
2.301,5,mental_math_2
2.401,2,mental_math_2
2.501,9,mental_math_2
2.601,4,mental_math_2
2.701,7,mental_math_2
2.801,1,mental_math_2
2.901,2,mental_math_2
3.001,5,mental_math_2
3.101,5,mental_math_2
3.201,4,mental_math_2
3.301,2,mental_math_2
3.401,1,mental_math_2
3.501,3,mental_math_2
3.601,5,mental_math_2
3.701,1,mental_math_2
3.801,6,mental_math_2
3.901,6,mental_math_2
4.001,3,mental_math_2
4.101,3,mental_math_2
4.201,3,mental_math_2
4.301,7,mental_math_2
4.401,3,mental_math_2
4.502,4,mental_math_2
4.602,6,mental_math_2
4.702,3,mental_math_2
4.802,3,mental_math_2
4.902,9,mental_math_2
5.002,8,mental_math_2
5.102,4,mental_math_2
5.202,6,mental_math_2
5.302,6,mental_math_2
5.402,6,mental_math_2
5.502,3,mental_math_2
5.602,6,mental_math_2
5.702,5,mental_math_2
5.802,5,mental_math_2
5.902,5,mental_math_2
6.002,7,mental_math_2
6.102,4,mental_math_2
6.202,2,mental_math_2
6.302,3,mental_math_2
6.402,7,mental_math_2
6.502,2,mental_math_2
6.602,2,mental_math_2
6.702,5,mental_math_2
6.802,4,mental_math_2
6.902,3,mental_math_2
7.002,2,mental_math_2
7.102,4,mental_math_2
7.202,5,mental_math_2
7.302,3,mental_math_2
7.402,0,mental_math_2
7.503,6,mental_math_2
7.603,4,mental_math_2
7.703,5,mental_math_2
7.803,1,mental_math_2
7.903,5,mental_math_2
8.003,5,mental_math_2
8.103,9,mental_math_2
8.203,7,mental_math_2
8.303,7,mental_math_2
8.403,12,mental_math_2
8.503,2,mental_math_2
8.603,1,mental_math_2
8.703,2,mental_math_2
8.803,3,mental_math_2
8.903,3,mental_math_2
9.003,5,mental_math_2
9.103,6,mental_math_2
9.203,4,mental_math_2
9.303,5,mental_math_2
9.403,4,mental_math_2
9.503,6,mental_math_2
9.603,4,mental_math_2
9.703,7,mental_math_2
9.803,7,mental_math_2
9.903,5,mental_math_2
10.003,2,mental_math_2
10.103,5,mental_math_2
10.203,2,mental_math_2
10.303,6,mental_math_2
10.403,8,mental_math_2
10.504,4,mental_math_2
10.604,6,mental_math_2
10.704,3,mental_math_2
10.804,6,mental_math_2
10.904,5,mental_math_2
11.004,3,mental_math_2
11.104,1,mental_math_2
11.204,9,mental_math_2
11.304,7,mental_math_2
11.404,5,mental_math_2
11.504,1,mental_math_2
11.604,8,mental_math_2
11.704,4,mental_math_2
11.804,4,mental_math_2
11.904,2,mental_math_2
12.004,2,mental_math_2
12.104,4,mental_math_2
12.204,9,mental_math_2
12.304,4,mental_math_2
12.404,5,mental_math_2
12.504,7,mental_math_2
12.604,5,mental_math_2
12.704,4,mental_math_2
12.804,4,mental_math_2
12.904,6,mental_math_2
13.004,2,mental_math_2
13.104,1,mental_math_2
13.204,4,mental_math_2
13.304,4,mental_math_2
13.404,1,mental_math_2
13.505,2,mental_math_2
13.605,4,mental_math_2
13.705,8,mental_math_2
13.805,4,mental_math_2
13.905,5,mental_math_2
14.005,3,mental_math_2
14.105,6,mental_math_2
14.205,2,mental_math_2
14.305,3,mental_math_2
14.405,4,mental_math_2
14.505,3,mental_math_2
14.605,5,mental_math_2
14.705,2,mental_math_2
14.805,1,mental_math_2
14.905,4,mental_math_2
15.005,1,mental_math_2
15.105,5,mental_math_2
15.205,4,mental_math_2
15.305,11,mental_math_2
15.405,3,mental_math_2
15.505,2,mental_math_2
15.605,3,mental_math_2
15.705,6,mental_math_2
15.805,3,mental_math_2
15.905,5,mental_math_2
16.005,6,mental_math_2
16.105,4,mental_math_2
16.205,2,mental_math_2
16.305,4,mental_math_2
16.405,5,mental_math_2
16.506,5,mental_math_2
16.606,1,mental_math_2
16.706,2,mental_math_2
16.806,4,mental_math_2
16.906,7,mental_math_2
17.006,6,mental_math_2
17.106,7,mental_math_2
17.206,3,mental_math_2
17.306,4,mental_math_2
17.406,5,mental_math_2
17.506,3,mental_math_2
17.606,4,mental_math_2
17.706,7,mental_math_2
17.806,4,mental_math_2
17.906,6,mental_math_2
18.006,4,mental_math_2
18.106,1,mental_math_2
18.206,3,mental_math_2
18.306,6,mental_math_2
18.406,5,mental_math_2
18.506,3,mental_math_2
18.606,7,mental_math_2
18.706,4,mental_math_2
18.806,3,mental_math_2
18.906,6,mental_math_2
19.006,7,mental_math_2
19.106,4,mental_math_2
19.206,1,mental_math_2
19.306,4,mental_math_2
19.406,8,mental_math_2
19.507,3,mental_math_2
19.607,4,mental_math_2
19.707,2,mental_math_2
19.807,4,mental_math_2
19.907,7,mental_math_2
20.007,2,mental_math_2
20.107,14,mental_math_2
20.207,7,mental_math_2
20.307,5,mental_math_2
20.407,4,mental_math_2
20.507,5,mental_math_2
20.607,6,mental_math_2
20.707,6,mental_math_2
20.807,5,mental_math_2
20.907,5,mental_math_2
21.007,3,mental_math_2
21.107,3,mental_math_2
21.207,7,mental_math_2
21.307,4,mental_math_2
21.407,3,mental_math_2
21.507,8,mental_math_2
21.607,4,mental_math_2
21.707,10,mental_math_2
21.807,5,mental_math_2
21.907,7,mental_math_2
22.007,4,mental_math_2
22.107,2,mental_math_2
22.207,6,mental_math_2
22.307,6,mental_math_2
22.407,0,mental_math_2
22.508,5,mental_math_2
22.608,3,mental_math_2
22.708,1,mental_math_2
22.808,6,mental_math_2
22.908,3,mental_math_2
23.008,5,mental_math_2
23.108,6,mental_math_2
23.208,4,mental_math_2
23.308,7,mental_math_2
23.408,4,mental_math_2
23.508,7,mental_math_2
23.608,5,mental_math_2
23.708,1,mental_math_2
23.808,7,mental_math_2
23.908,8,mental_math_2
24.008,4,mental_math_2
24.108,1,mental_math_2
24.208,3,mental_math_2
24.308,5,mental_math_2
24.408,3,mental_math_2
24.508,3,mental_math_2
24.608,5,mental_math_2
24.708,5,mental_math_2
24.808,6,mental_math_2
24.908,3,mental_math_2
25.008,3,mental_math_2
25.108,8,mental_math_2
25.208,6,mental_math_2
25.308,3,mental_math_2
25.408,8,mental_math_2
25.509,4,mental_math_2
25.609,4,mental_math_2
25.709,3,mental_math_2
25.809,2,mental_math_2
25.909,5,mental_math_2
26.009,1,mental_math_2
26.109,6,mental_math_2
26.209,6,mental_math_2
26.309,3,mental_math_2
26.409,4,mental_math_2
26.509,1,mental_math_2
26.609,1,mental_math_2
26.709,1,mental_math_2
26.809,3,mental_math_2
26.909,8,mental_math_2
27.009,2,mental_math_2
27.109,1,mental_math_2
27.209,4,mental_math_2
27.309,6,mental_math_2
27.409,7,mental_math_2
27.509,0,mental_math_2
27.609,6,mental_math_2
27.709,6,mental_math_2
27.809,2,mental_math_2
27.909,6,mental_math_2
28.009,1,mental_math_2
28.109,3,mental_math_2
28.209,5,mental_math_2
28.309,0,mental_math_2
28.409,1,mental_math_2
28.510,4,mental_math_2
28.610,4,mental_math_2
28.710,1,mental_math_2
28.810,4,mental_math_2
28.910,3,mental_math_2
29.010,3,mental_math_2
29.110,5,mental_math_2
29.210,10,mental_math_2
29.310,5,mental_math_2
29.410,1,mental_math_2
29.510,5,mental_math_2
29.610,5,mental_math_2
29.710,2,mental_math_2
29.810,4,mental_math_2
29.910,5,mental_math_2
30.010,4,mental_math_2
30.110,5,mental_math_2
30.210,4,mental_math_2
30.310,5,mental_math_2
30.410,8,mental_math_2
30.510,4,mental_math_2
30.610,5,mental_math_2
30.710,6,mental_math_2
30.810,6,mental_math_2
30.910,5,mental_math_2
31.010,3,mental_math_2
31.110,8,mental_math_2
31.210,6,mental_math_2
31.310,5,mental_math_2
31.410,5,mental_math_2
31.511,1,mental_math_2
31.611,3,mental_math_2
31.711,3,mental_math_2
31.811,4,mental_math_2
31.911,2,mental_math_2
32.011,3,mental_math_2
32.111,1,mental_math_2
32.211,1,mental_math_2
32.311,1,mental_math_2
32.411,7,mental_math_2
32.511,4,mental_math_2
32.611,8,mental_math_2
32.711,7,mental_math_2
32.811,7,mental_math_2
32.911,7,mental_math_2
33.011,5,mental_math_2
33.111,3,mental_math_2
33.211,6,mental_math_2
33.311,6,mental_math_2
33.411,2,mental_math_2
33.511,0,mental_math_2
33.611,3,mental_math_2
33.711,6,mental_math_2
33.811,10,mental_math_2
33.911,7,mental_math_2
34.011,6,mental_math_2
34.111,4,mental_math_2
34.211,6,mental_math_2
34.311,3,mental_math_2
34.411,7,mental_math_2
34.512,4,mental_math_2
34.612,7,mental_math_2
34.712,10,mental_math_2
34.812,0,mental_math_2
34.912,8,mental_math_2
35.012,5,mental_math_2
35.112,9,mental_math_2
35.212,1,mental_math_2
35.312,4,mental_math_2
35.412,5,mental_math_2
35.512,4,mental_math_2
35.612,7,mental_math_2
35.712,6,mental_math_2
35.812,2,mental_math_2
35.912,5,mental_math_2
36.012,4,mental_math_2
36.112,6,mental_math_2
36.212,6,mental_math_2
36.312,3,mental_math_2
36.412,4,mental_math_2
36.512,5,mental_math_2
36.612,5,mental_math_2
36.712,6,mental_math_2
36.812,4,mental_math_2
36.912,2,mental_math_2
37.012,3,mental_math_2
37.112,8,mental_math_2
37.212,3,mental_math_2
37.312,3,mental_math_2
37.412,1,mental_math_2
37.513,3,mental_math_2
37.613,3,mental_math_2
37.713,7,mental_math_2
37.813,2,mental_math_2
37.913,6,mental_math_2
38.013,5,mental_math_2
38.113,1,mental_math_2
38.213,4,mental_math_2
38.313,6,mental_math_2
38.413,4,mental_math_2
38.513,5,mental_math_2
38.613,3,mental_math_2
38.713,2,mental_math_2
38.813,6,mental_math_2
38.913,7,mental_math_2
39.013,6,mental_math_2
39.113,2,mental_math_2
39.213,5,mental_math_2
39.313,9,mental_math_2
39.413,5,mental_math_2
39.513,5,mental_math_2
39.613,2,mental_math_2
39.713,5,mental_math_2
39.813,6,mental_math_2
39.913,7,mental_math_2
40.013,6,mental_math_2
40.113,5,mental_math_2
40.213,6,mental_math_2
40.313,6,mental_math_2
40.413,2,mental_math_2
40.514,7,mental_math_2
40.614,6,mental_math_2
40.714,6,mental_math_2
40.814,6,mental_math_2
40.914,6,mental_math_2
41.014,1,mental_math_2
41.114,1,mental_math_2
41.214,1,mental_math_2
41.314,8,mental_math_2
41.414,5,mental_math_2
41.514,8,mental_math_2
41.614,3,mental_math_2
41.714,8,mental_math_2
41.814,1,mental_math_2
