timestamp,photon_count,condition
0.000,6,visualization
0.100,2,visualization
0.200,5,visualization
0.300,5,visualization
0.400,4,visualization
0.500,2,visualization
0.600,6,visualization
0.700,9,visualization
0.800,2,visualization
0.900,6,visualization
1.000,4,visualization
1.100,6,visualization
1.200,3,visualization
1.300,3,visualization
1.400,4,visualization
1.501,1,visualization
1.601,5,visualization
1.701,6,visualization
1.801,8,visualization
1.901,3,visualization
2.001,8,visualization
2.101,2,visualization
2.201,5,visualization
2.301,4,visualization
2.401,5,visualization
2.501,3,visualization
2.601,1,visualization
2.701,4,visualization
2.801,5,visualization
2.901,8,visualization
3.001,5,visualization
3.101,7,visualization
3.201,4,visualization
3.301,7,visualization
3.401,6,visualization
3.501,2,visualization
3.601,2,visualization
3.701,0,visualization
3.801,4,visualization
3.901,9,visualization
4.001,3,visualization
4.101,2,visualization
4.201,4,visualization
4.301,6,visualization
4.401,3,visualization
4.502,7,visualization
4.602,4,visualization
4.702,5,visualization
4.802,3,visualization
4.902,2,visualization
5.002,5,visualization
5.102,3,visualization
5.202,5,visualization
5.302,5,visualization
5.402,3,visualization
5.502,3,visualization
5.602,8,visualization
5.702,1,visualization
5.802,5,visualization
5.902,2,visualization
6.002,4,visualization
6.102,6,visualization
6.202,3,visualization
6.302,4,visualization
6.402,4,visualization
6.502,6,visualization
6.602,5,visualization
6.702,3,visualization
6.802,5,visualization
6.902,9,visualization
7.002,1,visualization
7.102,5,visualization
7.202,5,visualization
7.302,1,visualization
7.402,6,visualization
7.503,5,visualization
7.603,5,visualization
7.703,3,visualization
7.803,5,visualization
7.903,5,visualization
8.003,3,visualization
8.103,4,visualization
8.203,5,visualization
8.303,5,visualization
8.403,8,visualization
8.503,5,visualization
8.603,1,visualization
8.703,2,visualization
8.803,4,visualization
8.903,1,visualization
9.003,4,visualization
9.103,8,visualization
9.203,6,visualization
9.303,4,visualization
9.403,4,visualization
9.503,5,visualization
9.603,2,visualization
9.703,4,visualization
9.803,3,visualization
9.903,4,visualization
10.003,2,visualization
10.103,6,visualization
10.203,2,visualization
10.303,6,visualization
10.403,4,visualization
10.504,6,visualization
10.604,6,visualization
10.704,5,visualization
10.804,4,visualization
10.904,4,visualization
11.004,6,visualization
11.104,4,visualization
11.204,1,visualization
11.304,5,visualization
11.404,4,visualization
11.504,4,visualization
11.604,3,visualization
11.704,4,visualization
11.804,1,visualization
11.904,4,visualization
12.004,3,visualization
12.104,3,visualization
12.204,7,visualization
12.304,4,visualization
12.404,3,visualization
12.504,5,visualization
12.604,3,visualization
12.704,3,visualization
12.804,5,visualization
12.904,1,visualization
13.004,4,visualization
13.104,4,visualization
13.204,1,visualization
13.304,4,visualization
13.404,0,visualization
13.505,6,visualization
13.605,5,visualization
13.705,7,visualization
13.805,3,visualization
13.905,6,visualization
